name,profilelink,monthlyviews,totalviews,questions,answers,followers
Nicholas-Stone-5,https://www.quora.com/profile/Nicholas-Stone-5,1600000,15600000,26,10312,3306
Richard-Newman-106,https://www.quora.com/profile/Richard-Newman-106,1600000,9900000,0,41,4137
Kumar-Ummareddy,https://www.quora.com/profile/Kumar-Ummareddy,1600000,9000000,0,1149,516
Trey-Brannon-1,https://www.quora.com/profile/Trey-Brannon-1,1600000,7700000,13,1451,980
Tina-Bauer-17,https://www.quora.com/profile/Tina-Bauer-17,1600000,4900000,16,381,3990
Jennifer-Fitzgerald-1,https://www.quora.com/profile/Jennifer-Fitzgerald-1,1600000,4500000,0,23,1142
Mritunjay-Sharma-मृत्युंजय-शर्मा,https://www.quora.com/profile/Mritunjay-Sharma-मृत्युंजय-शर्मा,1600000,2800000,0,177,714
Habib-Fanny,https://www.quora.com/profile/Habib-Fanny,1500000,92500000,670,7322,89058
दीपक-मेहता-Deepak-Mehta,https://www.quora.com/profile/दीपक-मेहता-Deepak-Mehta,1500000,86300000,852,3618,154500
Dave-Consiglio,https://www.quora.com/profile/Dave-Consiglio,1500000,70500000,107,6124,85133
Jon-Davis-10,https://www.quora.com/profile/Jon-Davis-10,1500000,53500000,1448,2982,78020
Murphy-Barrett,https://www.quora.com/profile/Murphy-Barrett,1500000,34300000,136,6855,11826
आदित्य-सिम्हा-Aditya-Simha,https://www.quora.com/profile/आदित्य-सिम्हा-Aditya-Simha,1500000,17400000,458,793,1011
Kevin-Davidson-9,https://www.quora.com/profile/Kevin-Davidson-9,1500000,8800000,462,12689,967
Shubham-Verma-374,https://www.quora.com/profile/Shubham-Verma-374,1500000,2800000,38,219,293
Kelsey-L-Hayes,https://www.quora.com/profile/Kelsey-L-Hayes,1400000,110600000,55,8397,59282
Viktor-T-Toth-1,https://www.quora.com/profile/Viktor-T-Toth-1,1400000,54500000,7,7154,40625
David-Seidman,https://www.quora.com/profile/David-Seidman,1400000,41200000,9,3140,28539
Rajagopalan-K-Suryanarayan,https://www.quora.com/profile/Rajagopalan-K-Suryanarayan,1400000,37400000,9,7481,7757
Elinor-Greenberg,https://www.quora.com/profile/Elinor-Greenberg,1400000,34800000,5,1651,25999
Doug-Armey,https://www.quora.com/profile/Doug-Armey,1400000,34000000,1,927,14148
Angela-Stockton,https://www.quora.com/profile/Angela-Stockton,1400000,32900000,27,11291,4748
Frank-Dauenhauer,https://www.quora.com/profile/Frank-Dauenhauer,1400000,24600000,69,16278,21061
Donald-Tepper,https://www.quora.com/profile/Donald-Tepper,1400000,15700000,15,6755,3803
Flavian-Mwasi,https://www.quora.com/profile/Flavian-Mwasi,1400000,12900000,6,404,13238
Colin-Zhou-6,https://www.quora.com/profile/Colin-Zhou-6,1400000,6300000,237,355,3308
Richard-Muller-3,https://www.quora.com/profile/Richard-Muller-3,1300000,175200000,8,2377,304778
Andrew-Weill,https://www.quora.com/profile/Andrew-Weill,1300000,73400000,30,12269,68096
Joseph-Wang-9,https://www.quora.com/profile/Joseph-Wang-9,1300000,54500000,1,19601,44138
आशीष-डिमरी-Aashish-Kumar-Dimri,https://www.quora.com/profile/आशीष-डिमरी-Aashish-Kumar-Dimri,1300000,17200000,119,2165,2565
Samavedula-Venkata-Rama-Sastry,https://www.quora.com/profile/Samavedula-Venkata-Rama-Sastry,1300000,16200000,44,1260,10088
Akhil-Kintali-1,https://www.quora.com/profile/Akhil-Kintali-1,1300000,15000000,349,908,7180
Alice-Twain,https://www.quora.com/profile/Alice-Twain,1300000,14800000,0,9541,2113
Deepa-Naidu-20,https://www.quora.com/profile/Deepa-Naidu-20,1300000,14200000,0,556,22664
Vishal-Dogra-59,https://www.quora.com/profile/Vishal-Dogra-59,1300000,12900000,17,2403,1327
Rajan-Singh-824,https://www.quora.com/profile/Rajan-Singh-824,1300000,12700000,3,269,72101
Krishna-Suryakanth,https://www.quora.com/profile/Krishna-Suryakanth,1300000,11000000,629,745,9168
Chris-Ebbert,https://www.quora.com/profile/Chris-Ebbert,1300000,10600000,85,3702,2786
Spencer-Alexander-McDaniel,https://www.quora.com/profile/Spencer-Alexander-McDaniel,1300000,10400000,2,1008,7943
R-J-Holland,https://www.quora.com/profile/R-J-Holland,1300000,8000000,1,848,3280
Rafael-Eliassen,https://www.quora.com/profile/Rafael-Eliassen,1300000,7900000,0,405,11410
Gregg-Gray-1,https://www.quora.com/profile/Gregg-Gray-1,1300000,6900000,31,10109,2123
Sandi-Yu-2,https://www.quora.com/profile/Sandi-Yu-2,1300000,6300000,0,38,300
Sachiko-Chia-4,https://www.quora.com/profile/Sachiko-Chia-4,1300000,4500000,21,208,7325
Arsh-Ergon,https://www.quora.com/profile/Arsh-Ergon,1300000,2300000,7,152,544
Tom-Stagliano,https://www.quora.com/profile/Tom-Stagliano,1200000,74200000,154,33694,39242
Paul-Denlinger,https://www.quora.com/profile/Paul-Denlinger,1200000,38500000,6356,7630,63673
Vijaya-Lakshmi-1000,https://www.quora.com/profile/Vijaya-Lakshmi-1000,1200000,33000000,115,1285,93871
Daniel-Wallander,https://www.quora.com/profile/Daniel-Wallander,1200000,23800000,0,9227,932
Bob-Kinch,https://www.quora.com/profile/Bob-Kinch,1200000,16700000,8,2618,3579
Nathan-Stanish,https://www.quora.com/profile/Nathan-Stanish,1200000,13500000,39,1005,4610
Ryan-Phillips-103,https://www.quora.com/profile/Ryan-Phillips-103,1200000,11900000,90,505,5810
Richard-Johnson-821,https://www.quora.com/profile/Richard-Johnson-821,1200000,9500000,0,634,3919
Bill-Chen-140,https://www.quora.com/profile/Bill-Chen-140,1200000,6300000,52,989,2338
Olga-Smirnova-22,https://www.quora.com/profile/Olga-Smirnova-22,1200000,3400000,10,130,888
Julien-Rio,https://www.quora.com/profile/Julien-Rio,1200000,1700000,2,80,84
Gordon-Miller-21,https://www.quora.com/profile/Gordon-Miller-21,1100000,124900000,93,8055,137737
Buster-Ecks,https://www.quora.com/profile/Buster-Ecks,1100000,27000000,19,8890,2132
Christian-Winter,https://www.quora.com/profile/Christian-Winter,1100000,23400000,7,10015,8682
Alex-Papageorge,https://www.quora.com/profile/Alex-Papageorge,1100000,22500000,25,222,26
