name,profilelink,monthlyviews,totalviews,questions,answers,followers
David-Stewart-8,https://www.quora.com/profile/David-Stewart-8,318100,41300000,75,14719,23385
David-Seidman,https://www.quora.com/profile/David-Seidman,1400000,41200000,9,3140,28539
Hector-Quintanilla,https://www.quora.com/profile/Hector-Quintanilla,2500000,40700000,73,1040,76119
Kurt-Guntheroth-1,https://www.quora.com/profile/Kurt-Guntheroth-1,2900000,40600000,9,5715,16819
Andy-Lee-Chaisiri,https://www.quora.com/profile/Andy-Lee-Chaisiri,315200,40300000,2564,3844,33324
Adam-Fayed,https://www.quora.com/profile/Adam-Fayed,3400000,40100000,4,8427,9515
Lukas-Schwekendiek,https://www.quora.com/profile/Lukas-Schwekendiek,875600,39900000,19,3281,49444
Samantha-Kannan,https://www.quora.com/profile/Samantha-Kannan,2400000,39400000,12,1733,47981
Shefali-Naidu,https://www.quora.com/profile/Shefali-Naidu,520900,39100000,5,751,79030
Paul-Denlinger,https://www.quora.com/profile/Paul-Denlinger,1200000,38500000,6356,7630,63673
Peter-T-Mayer,https://www.quora.com/profile/Peter-T-Mayer,173100,38500000,313,2551,9351
Geoffrey-Widdison,https://www.quora.com/profile/Geoffrey-Widdison,1000000,37900000,36,8550,16000
Glyn-Williams,https://www.quora.com/profile/Glyn-Williams,149700,37900000,52,7801,20013
Rajagopalan-K-Suryanarayan,https://www.quora.com/profile/Rajagopalan-K-Suryanarayan,1400000,37400000,9,7481,7757
Athena-Walker,https://www.quora.com/profile/Athena-Walker,567500,37200000,8,8052,25989
Michael-Vogel-5,https://www.quora.com/profile/Michael-Vogel-5,882800,36400000,543,13642,11118
Steve-Baker-100,https://www.quora.com/profile/Steve-Baker-100,1600000,36100000,65,14380,12523
Xu-Beixi,https://www.quora.com/profile/Xu-Beixi,216200,35800000,39,5386,47274
Matt-Wasserman-1,https://www.quora.com/profile/Matt-Wasserman-1,310000,35700000,13,11755,16939
Stan-Hanks,https://www.quora.com/profile/Stan-Hanks,654100,35700000,60,6266,26656
Mark-Harrison-2,https://www.quora.com/profile/Mark-Harrison-2,606700,35500000,305,12316,18613
Marius-Kramer,https://www.quora.com/profile/Marius-Kramer,908000,35300000,10,1474,13355
Brian-Bi,https://www.quora.com/profile/Brian-Bi,254600,35200000,227,3902,94526
Todd-Gardiner,https://www.quora.com/profile/Todd-Gardiner,574400,35200000,445,34004,13163
Elinor-Greenberg,https://www.quora.com/profile/Elinor-Greenberg,1400000,34800000,5,1651,25999
Susanna-Viljanen,https://www.quora.com/profile/Susanna-Viljanen,1900000,34800000,2,4087,9997
Cliff-Gilley,https://www.quora.com/profile/Cliff-Gilley,307000,34600000,30,17303,15924
Jordan-Yates-4,https://www.quora.com/profile/Jordan-Yates-4,161800,34500000,159,2569,44744
Mikka-Luster,https://www.quora.com/profile/Mikka-Luster,147600,34500000,24,2405,29202
Murphy-Barrett,https://www.quora.com/profile/Murphy-Barrett,1500000,34300000,136,6855,11826
Jessica-Su,https://www.quora.com/profile/Jessica-Su,143000,34100000,749,1423,102554
Doug-Armey,https://www.quora.com/profile/Doug-Armey,1400000,34000000,1,927,14148
Mike-Prinke,https://www.quora.com/profile/Mike-Prinke,474300,33900000,79,8521,6045
Jack-Fraser-11,https://www.quora.com/profile/Jack-Fraser-11,175500,33400000,27,2600,54782
Sabrina-Deep,https://www.quora.com/profile/Sabrina-Deep,259399,33400000,159,1318,55885
Tim-Hibbetts,https://www.quora.com/profile/Tim-Hibbetts,338700,33100000,3,1867,10426
Vijaya-Lakshmi-1000,https://www.quora.com/profile/Vijaya-Lakshmi-1000,1200000,33000000,115,1285,93871
Angela-Stockton,https://www.quora.com/profile/Angela-Stockton,1400000,32900000,27,11291,4748
John-L-Miller,https://www.quora.com/profile/John-L-Miller,223400,32900000,18,2300,45971
Adam-DAngelo,https://www.quora.com/profile/Adam-DAngelo,201800,32799999,1003,980,433472
Thomas-L-Johnson-1,https://www.quora.com/profile/Thomas-L-Johnson-1,293800,32600000,4791,10086,8972
Bhuvi-Jain,https://www.quora.com/profile/Bhuvi-Jain,946900,32500000,74,1834,158819
Tomer-Amrani,https://www.quora.com/profile/Tomer-Amrani,290800,32500000,1,1117,5586
Rahul-Shrivastava-126,https://www.quora.com/profile/Rahul-Shrivastava-126,599200,32299999,0,480,179127
Bala-Senthil-Kumar,https://www.quora.com/profile/Bala-Senthil-Kumar,558400,32100000,67,9151,41451
Ron-Wagner-2,https://www.quora.com/profile/Ron-Wagner-2,701000,32000000,25,1358,14567
Adrián-Lamo,https://www.quora.com/profile/Adrián-Lamo,59000,31900000,22,504,78095
Adriana-Heguy,https://www.quora.com/profile/Adriana-Heguy,70500,31700000,16,2201,77135
Charissa-Enget,https://www.quora.com/profile/Charissa-Enget,3100000,31700000,20,623,36688
Alice-Tsymbarevich,https://www.quora.com/profile/Alice-Tsymbarevich,786400,31400000,84,11448,14432
Gwen-Sawchuk,https://www.quora.com/profile/Gwen-Sawchuk,319800,31200000,81,17466,10415
Kelly-La-Rue,https://www.quora.com/profile/Kelly-La-Rue,875700,31100000,6,15286,5250
Dennis-Manning-9,https://www.quora.com/profile/Dennis-Manning-9,1800000,30900000,4,7084,10598
John-Geare,https://www.quora.com/profile/John-Geare,764900,30700000,33,9745,6379
Margaret-Weiss,https://www.quora.com/profile/Margaret-Weiss,355700,30700000,45,20543,21839
Alex-Johnston-39,https://www.quora.com/profile/Alex-Johnston-39,2000000,30600000,44,7230,9459
Jeremy-Glenesk,https://www.quora.com/profile/Jeremy-Glenesk,422900,30600000,16,9104,13618
Nicolas-Cole-1,https://www.quora.com/profile/Nicolas-Cole-1,219700,30500000,3,1153,59742
Håkon-Hapnes-Strand,https://www.quora.com/profile/Håkon-Hapnes-Strand,600000,30000000,19,3481,32229
Andrew-Ferebee,https://www.quora.com/profile/Andrew-Ferebee,540900,29900000,35,725,61931
Alec-Cawley,https://www.quora.com/profile/Alec-Cawley,635400,29500000,52,31455,10809
Brett-Fox-8,https://www.quora.com/profile/Brett-Fox-8,598800,29400000,0,3037,14681
Chuck-Rogers-1,https://www.quora.com/profile/Chuck-Rogers-1,613500,29400000,2,16259,2762
Vicky-Prest,https://www.quora.com/profile/Vicky-Prest,629100,29200000,147,3374,33628
Dave-Haynie,https://www.quora.com/profile/Dave-Haynie,1000000,29100000,1,4683,7798
Terry-Lambert,https://www.quora.com/profile/Terry-Lambert,635200,29100000,17,10150,10387
Wendi-Tibbets,https://www.quora.com/profile/Wendi-Tibbets,151700,29000000,148,1152,22089
Bart-Loews,https://www.quora.com/profile/Bart-Loews,653000,28800000,96,10728,7625
Pablo-Macias-9,https://www.quora.com/profile/Pablo-Macias-9,4099999,28500000,6,49,565
Khalid-Elhassan,https://www.quora.com/profile/Khalid-Elhassan,109800,28300000,18,1033,10966
Howie-Reith,https://www.quora.com/profile/Howie-Reith,258600,28100000,74,4146,13035
Lee-Ballentine,https://www.quora.com/profile/Lee-Ballentine,426900,28000000,257,10605,20573
Ashish-Kedia,https://www.quora.com/profile/Ashish-Kedia,311500,27800000,58,1069,100999
John-Chesire,https://www.quora.com/profile/John-Chesire,552100,27700000,32,3412,10852
Jae-Alexis-Lee,https://www.quora.com/profile/Jae-Alexis-Lee,506600,27400000,37,4640,14206
Eivind-Kjørstad,https://www.quora.com/profile/Eivind-Kjørstad,272900,27300000,56,5149,20603
Scott-Welch,https://www.quora.com/profile/Scott-Welch,315000,27200000,110,8799,28374
Aviral-Bhatnagar,https://www.quora.com/profile/Aviral-Bhatnagar,189900,27000000,9,835,82891
Buster-Ecks,https://www.quora.com/profile/Buster-Ecks,1100000,27000000,19,8890,2132
Jan-Soloven,https://www.quora.com/profile/Jan-Soloven,213500,27000000,161,4502,5517
